title,description,genres
Vikram,"A high-octane action film where a special investigator is assigned a case of serial Killings, he finds the case is not what it seems to be and leading down this path is only going to end in a war between everyone involved.","Action, Crime, Thriller"
Double Indemnity,"A Los Angeles insurance representative lets an alluring housewife seduce him into a scheme of insurance fraud and murder that arouses the suspicion of his colleague, an insurance investigator.","Crime, Drama, Film-Noir"
K.G.F: Chapter 2,"In the blood-soaked Kolar Gold Fields, Rocky's name strikes fear into his foes. While his allies look up to him, the government sees him as a threat to law and order. Rocky must battle threats from all sides for unchallenged supremacy.","Action, Crime, Drama"
Like Stars on Earth,"An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.","Drama, Family"
Dangal,Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.,"Action, Biography, Drama"
Bicycle Thieves,"In post-war Italy, a working-class man's bicycle is stolen, endangering his efforts to find work. He and his son set out to find it.",Drama
The Kid,"The Tramp cares for an abandoned child, but events put their relationship in jeopardy.","Comedy, Drama, Family"
Ayla,"In 1950, amidst the ravages of the Korean War, Sergeant Süleyman stumbles upon a half-frozen little girl with no parents, and no help in sight. Frantic, scared and on the verge of death, ... See full summary »","Biography, Drama, History"
Pather Panchali,"Impoverished priest Harihar Ray, dreaming of a better life for himself and his family, leaves his rural Bengal village in search of work.",Drama
Gu ling jie shao nian sha ren shi jian,"Based on a true story, primarily on a conflict between two youth gangs, a 14-year-old boy's girlfriend conflicts with the head of one gang for an unclear reason, until finally the conflict comes to a violent climax.","Crime, Drama, Romance"
Huo zhe,"After Fugui and Jiazhen lose their personal fortunes, they raise a family and survive difficult cultural changes during 1940s to 1970s China.","Drama, War"
Satya,An innocent man is embroiled in underworld after being falsely charged and sets out to punish the perpetrators who subjected his life to misery.,"Action, Crime, Drama"
Chhichhore,"A tragic incident forces Anirudh, a middle-aged man, to take a trip down memory lane and reminisce his college days along with his friends, who were labelled as losers.","Comedy, Drama, Romance"
A Man Escaped,A captured French Resistance fighter during WWII engineers a daunting escape from a Nazi prison in France.,"Drama, Thriller, War"
Jana Gana Mana,"As a college professor's brutal murder sparks student unrest, a cop launches an investigation while a lawyer seeks justice in the the courtroom.","Crime, Drama, Thriller"
Drishyam,A man goes to extreme lengths to save his family from punishment after the family commits an accidental crime.,"Crime, Drama, Thriller"
The Cranes Are Flying,"Veronica plans a rendezvous with her lover, Boris, at the bank of river, only for him to be drafted into World War II shortly thereafter.","Drama, Romance, War"
Super Deluxe,"An unfaithful newly-wed wife, an estranged father, a priest and an angry son suddenly find themselves in the most unexpected predicaments, each poised to experience their destiny, all on one fateful day.","Comedy, Crime, Drama"
Red Beard,"In 19th-century Japan, a rough-tempered yet charitable town doctor trains a young intern.",Drama
Los Olvidados,"A group of juvenile delinquents lives a violent and crime-filled life in the festering slums of Mexico City, and the morals of young Pedro are gradually corrupted and destroyed by the others.","Crime, Drama"
Les Enfants du Paradis,The theatrical life of a beautiful courtesan in 1830s Paris and the four men who love her.,"Drama, Romance"
Ordet,"Follows the lives of the Borgen family, as they deal with inner conflict, as well as religious conflict with each other, and the rest of the town.",Drama
Samurai Rebellion,"The mother of a feudal lord's only heir is kidnapped away from her husband by the lord. The husband and his samurai father must decide whether to accept the unjust decision, or risk death to get her back.",Drama
Jaane Bhi Do Yaaro,"Two friends, attempting to start-up their own photo studio, come across shady dealings, corruption and murder, and must fight to bring the guilty to light.","Comedy, Crime, Drama"
The Unvanquished,"Following his father's death, a boy leaves home to study in Calcutta, while his mother must face a life alone.",Drama
Maanaadu,"On the day of a public conference by the state's Chief Minister, his bodyguard and a police officer are stuck in a time loop.","Action, Adventure, Sci-Fi"
Anniyan,"Ramanujam, who suffers from multiple personality disorder, works as a lawyer by day and a vigilante at night. He uses tips from the 'Garuda Purana' as his tools to expose various antisocial elements.","Action, Crime, Drama"
Khosla Ka Ghosla!,A Delhi-based retired middle-class man tries half-heartedly to get his land back from a swindling property dealer with the help of his sons and their friends.,"Comedy, Crime, Drama"
"Kidnapping, Caucasian Style","A young student Shurik comes to a remote mountainous region in search of ancient legends and traditions. Fooled by the corrupt local governor, he helps him to kidnap a beautiful young girl, but soon realizes what he's done.","Adventure, Comedy, Drama"
Premam,A young man has three opportunities to find love. Will the third time be the charm?,"Comedy, Drama, Romance"
Bangalore Days,"A fun roller coaster ride about three young people, Aju, Divya and Kuttan who are cousins, reach Bangalore to dream, discover and explore.","Comedy, Drama, Romance"
Agent Sai Srinivasa Athreya,Agent Sai Srinivasa Athreya is an authentic humorous investigative thriller revolving around the adventures of a detective based out of Nellore.,"Comedy, Crime, Mystery"
The Diamond Arm,An ordinary Soviet citizen accidentally intervenes into a huge operation of international criminal group that trades illegally obtained jewelry.,"Adventure, Comedy, Crime"
Sairat,"In interior Maharashtra, a fisherman's son and a local politician's daughter fall in love against the restrictions of caste hierarchy.","Drama, Romance"
Cat City,"In the year 80 AMM (After Mickey Mouse) on planet X the crime-syndicated Cats try to erase the Mouse-population once and for all. A scientist of the mice, prof. Fushimishi seems to have ... See full summary »","Animation, Adventure, Comedy"
Soodhu Kavvum,"Das, with his team, kidnap Arumai, son of a politician, who has been planning his own kidnapping to extract money from his father. Problems arise, when an insane cop is brought to handle the case.","Comedy, Crime, Thriller"
Lucia,"A man suffering from insomnia is tricked into buying a drug, Lucia, that makes his desires come true in his dreams, blurring the line between fantasy and reality.","Drama, Sci-Fi, Thriller"
Baashha,"An auto driver, Manikam, desperately tries to hide his dark underworld side to keep his promise to his father.","Action, Crime, Drama"
Chupke Chupke,A newly wedded husband plays a practical joke on his wife's family with full support from his wife and friends.,"Comedy, Drama, Romance"
From the Village to the City,"The sequel of The Stupid Millionaire (1974), the fun continues this time in Ankara, after the 4 brothers find the heritage from their father which is a box-ful of gold.","Adventure, Comedy, Crime"
The Wolf of Wall Street,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.","Biography, Comedy, Crime"
Spider-Man: No Way Home,"With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man.","Action, Adventure, Fantasy"
